employee_id,first_name,last_name,job_title,level,email,dob,phone,address,join_date
06306518,Bayu,Linggar,Retail Director,6,bayu.linggar@gdn-commerce.com,1991-10-22,+62842419008031,"Apt. 529 Jl. MH. Thamrin No. 63, Tanjung Jabung Barat, GO 30062",2018-09-22
06301970,Kiki,Oktara,Direct Agent,13,kiki.oktara@gdn-commerce.com,1990-04-25,+62816423740996,"Apt. 136 Jl. Gatot Soebroto No. 69, Tanah Bumbu, SA 17723",2018-02-08
06307006,Yoga,Budiman,Regional Sales Associate,8,yoga.budiman@gdn-commerce.com,1985-05-15,+62870376571081,"Jl. Kartini No. 13, Sumedang, KT 06320",2016-09-01
06303310,Heru,Triwijaya,Construction Facilitator,12,heru.triwijaya@gdn-commerce.com,1977-03-06,+62843208568822,"Jl. Ahmad Yani No. 58, Buru, JA 25216",2017-06-28
06305295,Vivi,Gunardi,Direct Accounting Administrator,8,vivi.gunardi@gdn-commerce.com,1973-05-07,+62812946377352,"Apt. 859 Jl. Kartini No. 54, Sumedang, JA 18106",2020-02-05
06306690,Chandra,Mahendra,Retail Specialist,10,chandra.mahendra@gdn-commerce.com,1984-08-24,+62873725434662,"Jl. Ahmad Yani No. 28, Kendal, JK 47847",2019-06-06
06302457,Dea,Sapta,Education Representative,5,dea.sapta@gdn-commerce.com,1988-08-06,+62837941937533,"Jl. MH. Thamrin No. 53, Baru, NU 68713",2017-08-10
06307411,Edwin,Jayadinata,Senior Government Officer,13,edwin.jayadinata@gdn-commerce.com,1990-05-29,+62898517045336,"Jl. Ahmad Yani No. 48, Bungo, JA 53660",2019-09-03
06309916,Niko,Waluyo,Legal Representative,8,niko.waluyo@gdn-commerce.com,1992-04-18,+62890901492067,"Suite 289 Jl. Juanda No. 96, Kepulauan Meranti, GO 21154",2019-01-19
06304441,Yanuar,Fauzi,Construction Administrator,5,yanuar.fauzi@gdn-commerce.com,1973-10-02,+62820824705939,"Jl. Juanda No. 83, Luwu, NT 60746",2020-10-06
06303389,Topan,Ilham,District Accounting Technician,7,topan.ilham@gdn-commerce.com,1975-06-18,+62844834277624,"Jl. Gatot Soebroto No. 24, Asmat, JA 08409",2016-06-02
06304013,Rosa,Ilham,Administration Consultant,11,rosa.ilham@gdn-commerce.com,1982-05-26,+62837010224454,"Jl. Kartini No. 53, Dogiyai, JT 20875",2018-06-20
06303821,Qorri,Erlangga,Retail Developer,8,qorri.erlangga@gdn-commerce.com,1980-10-30,+62890203794017,"Jl. Kartini No. 49, Sumedang, BB 00983",2017-08-11
06308801,Pradipta,Hermawan,Direct Retail Consultant,11,pradipta.hermawan@gdn-commerce.com,1985-02-01,+62849719450667,"Jl. Ahmad Yani No. 58, Pangkal Pinang, KT 49680",2016-06-28
06307702,Zaenal,Ferdian,Community-Services Officer,6,zaenal.ferdian@gdn-commerce.com,1980-08-15,+62826633903647,"Jl. Hayamwuruk No. 20, Asmat, SG 84518",2019-11-11
06300795,Udin,Ginanjar,Construction Agent,13,udin.ginanjar@gdn-commerce.com,1973-12-06,+62886348858993,"Jl. Juanda No. 10, Pangandaran, BT 95573",2018-01-19
06306048,Khrisna,Ginting,Senior Specialist,7,khrisna.ginting@gdn-commerce.com,1988-01-17,+62855546999550,"Jl. Gatot Soebroto No. 46, Pemalang, MU 32684",2019-11-18
06309988,Gugun,Alamsyah,Central Sales Agent,13,gugun.alamsyah@gdn-commerce.com,1970-12-12,+62876009544656,"Apt. 485 Jl. Diponegoro No. 90, Kotawaringin Barat, BA 32011",2018-07-07
06301510,Yudhistira,Dwiantoro,Regional Hospitality Consultant,9,yudhistira.dwiantoro@gdn-commerce.com,1988-09-15,+62846941348334,"Apt. 210 Jl. Diponegoro No. 96, Barru, AC 31653",2018-11-10
06309992,Iwan,Jayadinata,Accounting Supervisor,6,iwan.jayadinata@gdn-commerce.com,1989-03-14,+62868826119885,"Suite 229 Jl. Gatot Soebroto No. 67, Kediri, SG 50288",2020-08-26
06301591,Lely,Ikhsan,Future Retail Developer,11,lely.ikhsan@gdn-commerce.com,1972-04-20,+62835352304219,"Apt. 569 Jl. Rasuna Said No. 47, Buru Selatan, JK 18599",2019-10-04
06308166,Tito,Indrajaya,Corporate Marketing Analyst,5,tito.indrajaya@gdn-commerce.com,2003-09-18,+62873075721157,"Apt. 137 Jl. Kartini No. 28, Manggarai, KI 94107",2016-02-17
06301767,Edi,Adriansyah,Customer Developer,10,edi.adriansyah@gdn-commerce.com,1998-11-09,+62878972282647,"Apt. 953 Jl. Ahmad Yani No. 57, Cilegon, JK 84366",2017-07-21
06304846,Lely,Abdullah,Hospitality Coordinator,9,lely.abdullah@gdn-commerce.com,1990-10-14,+62860198244781,"Suite 374 Jl. Jend. Sudirman No. 76, Banjar, NU 08076",2017-12-25
06308855,Dion,Kurniawan,Healthcare Architect,9,dion.kurniawan@gdn-commerce.com,1972-10-14,+62870301499094,"Apt. 820 Jl. MH. Thamrin No. 78, Wonosobo, SR 11372",2021-05-06
06300862,Liana,Kusuma,Central Administrator,7,liana.kusuma@gdn-commerce.com,1990-11-11,+62850046271220,"Jl. Gatot Soebroto No. 77, Nias Barat, SL 78089",2020-12-01
06303005,Okta,Nainggolan,Future Planner,6,okta.nainggolan@gdn-commerce.com,1996-11-01,+62856079380206,"Suite 138 Jl. Jend. Sudirman No. 65, Kapuas Hulu, KR 50071",2019-12-02
06309445,Chandra,Harjono,Senior Hospitality Architect,12,chandra.harjono@gdn-commerce.com,1985-09-17,+62855244960381,"Apt. 643 Jl. Diponegoro No. 34, Jakarta Utara, SN 71673",2018-09-22
06304218,Jaya,Budiman,Central Representative,6,jaya.budiman@gdn-commerce.com,1996-05-14,+62814685822866,"Jl. Jend. Sudirman No. 65, Tana Toraja, KU 71608",2020-06-29
06304423,Aji,Januar,Administration Supervisor,4,aji.januar@gdn-commerce.com,1998-04-18,+62873082905968,"Jl. Gajahmada No. 35, Manggarai Timur, JB 68695",2018-06-24
06307080,Bagus,Hadiwijaya,Central Banking Liaison,12,bagus.hadiwijaya@gdn-commerce.com,1985-02-27,+62875794509449,"Apt. 263 Jl. Kartini No. 75, Kudus, KA 35890",2017-08-13
06304659,Umar,Indragiri,Sales Architect,6,umar.indragiri@gdn-commerce.com,1974-02-16,+62818236627396,"Apt. 843 Jl. Rasuna Said No. 94, Sungai Penuh, JT 08899",2016-11-20
06306662,Muhammad,Wardhana,Global Mining Representative,7,muhammad.wardhana@gdn-commerce.com,1970-12-13,+62827453946689,"Jl. Gatot Soebroto No. 81, Sidenreng Rappang, KB 76684",2016-07-03
06300224,Khrisna,Zaenal,National Marketing Director,6,khrisna.zaenal@gdn-commerce.com,1989-04-24,+62847231753782,"Jl. Rasuna Said No. 62, Sumba Timur, PB 82788",2016-07-27
06302129,David,Oktavian,District Analyst,13,david.oktavian@gdn-commerce.com,1978-02-03,+62839743880497,"Suite 785 Jl. Gajahmada No. 40, Gunungsitoli, KB 23314",2019-07-22
06306764,Toni,Suryatama,Accounting Orchestrator,9,toni.suryatama@gdn-commerce.com,1991-01-03,+62857780035308,"Jl. Jend. Sudirman No. 22, Flores Timur, BA 13098",2016-07-30
06304886,Anita,Hartanto,Direct Advertising Executive,13,anita.hartanto@gdn-commerce.com,1972-06-18,+62897078373521,"Suite 337 Jl. Hayamwuruk No. 50, Pegunungan Bintang, LA 70916",2017-03-17
06305360,Topan,Darmawan,Legacy Executive,10,topan.darmawan@gdn-commerce.com,1970-01-16,+62830686796409,"Jl. Ahmad Yani No. 57, Rote Ndao, KB 63315",2018-02-19
06300568,Hengky,Mahendra,Hospitality Executive,7,hengky.mahendra@gdn-commerce.com,1995-02-13,+62858105471584,"Suite 709 Jl. Jend. Sudirman No. 69, Bolaang Mongondow, NB 18026",2017-08-27
06305264,Kiki,Handaru,Healthcare Consultant,12,kiki.handaru@gdn-commerce.com,1975-12-12,+62853760871130,"Apt. 176 Jl. Gajahmada No. 71, Gayo Lues, ML 76841",2018-03-04
06302543,David,Dwiantoro,Design Planner,5,david.dwiantoro@gdn-commerce.com,1980-02-19,+62840976500229,"Jl. Diponegoro No. 97, Tarakan, MA 96210",2016-01-07
06307165,Arif,Indrajaya,Future Marketing Consultant,10,arif.indrajaya@gdn-commerce.com,1991-06-10,+62849205349135,"Suite 465 Jl. Rasuna Said No. 36, Sigi, KA 88447",2017-03-29
06308067,Bagus,Wicaksono,Legacy Real-Estate Specialist,11,bagus.wicaksono@gdn-commerce.com,1970-05-01,+62893273626219,"Jl. Ahmad Yani No. 68, Surabaya, ST 86499",2021-06-02
06301177,Kemal,Yudhiswara,Human Consultant,12,kemal.yudhiswara@gdn-commerce.com,1972-02-19,+62834648025161,"Apt. 598 Jl. Hayamwuruk No. 55, Pagar Alam, PA 92494",2021-05-15
06309328,Yahya,Jayakusuma,Internal Mining Analyst,12,yahya.jayakusuma@gdn-commerce.com,1987-09-19,+62849992063064,"Apt. 409 Jl. Ahmad Yani No. 86, Buru Selatan, NT 82145",2017-03-17
06308193,Bambang,Waluyo,Senior Designer,12,bambang.waluyo@gdn-commerce.com,1986-07-18,+62825513353220,"Jl. Gatot Soebroto No. 38, Singkawang, KB 23798",2019-05-05
06300175,Pradipta,Gunardi,Lead Executive,6,pradipta.gunardi@gdn-commerce.com,2001-12-14,+62838489402154,"Apt. 649 Jl. Kartini No. 41, Sabu Raijua, JB 96592",2016-01-16
06306517,Muhammad,Rusmana,Marketing Engineer,10,muhammad.rusmana@gdn-commerce.com,1980-09-30,+62888351180470,"Suite 473 Jl. Jend. Sudirman No. 82, Hulu Sungai Utara, SG 96639",2020-06-08
06306631,Lely,Kurnianto,Retail Planner,12,lely.kurnianto@gdn-commerce.com,1997-03-15,+62890538357703,"Jl. Gatot Soebroto No. 38, Temanggung, JW 46662",2016-09-24
06308703,Arif,Suryatama,Hospitality Director,7,arif.suryatama@gdn-commerce.com,1970-05-12,+62844280797775,"Apt. 121 Jl. Hayamwuruk No. 53, Indragiri Hilir, PB 30904",2021-07-30
06301752,Rosa,Budiono,Direct Producer,4,rosa.budiono@gdn-commerce.com,1970-04-03,+62827687099771,"Jl. Juanda No. 51, Bener Meriah, NU 41111",2019-05-07
06307310,Qorri,Umbara,Lead Marketing Strategist,12,qorri.umbara@gdn-commerce.com,1971-04-10,+62894795058820,"Suite 864 Jl. Ahmad Yani No. 21, Luwu, JW 93226",2018-07-14
06309729,Rudi,Winardi,Banking Liaison,10,rudi.winardi@gdn-commerce.com,1983-06-18,+62882955147501,"Jl. Gajahmada No. 94, Kuantan Singingi, NT 43265",2020-12-10
06308620,Yudi,Gunardi,Future Hospitality Producer,12,yudi.gunardi@gdn-commerce.com,1980-01-01,+62883641314238,"Suite 893 Jl. MH. Thamrin No. 80, Tapin, SM 44385",2021-10-26
06308504,Raditya,Hendrawinata,Internal Mining Assistant,11,raditya.hendrawinata@gdn-commerce.com,1984-01-07,+62843995259100,"Suite 675 Jl. Ahmad Yani No. 25, Karanganyar, GO 69657",2019-05-28
06301383,Topan,Gunajaya,Principal Advertising Architect,8,topan.gunajaya@gdn-commerce.com,1990-07-10,+62876365141007,"Jl. Jend. Sudirman No. 26, Balangan, ST 23786",2019-07-20
06305837,Oki,Hendrawinata,Customer Healthcare Administrator,6,oki.hendrawinata@gdn-commerce.com,1994-05-01,+62832203719245,"Apt. 105 Jl. Juanda No. 22, Pariaman, KA 15721",2018-05-18
06309608,Lidya,Virgiawan,District Administration Engineer,4,lidya.virgiawan@gdn-commerce.com,1993-03-19,+62853071697492,"Suite 663 Jl. Rasuna Said No. 50, Sabu Raijua, SU 76765",2018-11-02
06305452,Edwin,Rianto,Real-Estate Specialist,10,edwin.rianto@gdn-commerce.com,1981-01-06,+62831846535455,"Jl. Kartini No. 12, Paser, SM 00591",2019-08-05
06308179,Desi,Ardianto,Administration Orchestrator,12,desi.ardianto@gdn-commerce.com,1980-05-11,+62860579222702,"Suite 551 Jl. Gajahmada No. 90, Hulu Sungai Utara, SA 44795",2018-06-20
06300819,Agus,Januar,Administration Designer,12,agus.januar@gdn-commerce.com,1997-01-29,+62873175476033,"Jl. Diponegoro No. 42, Murung Raya, GO 30481",2017-02-09
06306682,Jaka,Oktara,Hospitality Executive,8,jaka.oktara@gdn-commerce.com,2003-10-30,+62849051092448,"Jl. Kartini No. 53, Timor Tengah Utara, BE 42087",2018-09-23
06303670,Budi,Febriansyah,Farming Agent,12,budi.febriansyah@gdn-commerce.com,1975-05-16,+62890546262876,"Suite 807 Jl. Hayamwuruk No. 59, Demak, KB 76988",2020-05-18
06303693,Ferdian,Wardhana,Administration Assistant,7,ferdian.wardhana@gdn-commerce.com,1984-08-02,+62851537216401,"Jl. Gajahmada No. 18, Bungo, SN 50458",2021-08-03
06304053,Wisnu,Daniawan,Consulting Director,7,wisnu.daniawan@gdn-commerce.com,1983-08-07,+62838198316766,"Suite 211 Jl. Hayamwuruk No. 49, Musi Rawas, NB 64946",2021-01-01
06303749,Heri,Sugiarto,District Developer,6,heri.sugiarto@gdn-commerce.com,1994-08-14,+62876356138478,"Apt. 266 Jl. Gajahmada No. 79, Lampung Tengah, ST 14913",2021-10-21
06300462,Iwan,Alamsyah,Real-Estate Supervisor,13,iwan.alamsyah@gdn-commerce.com,1991-03-17,+62855421967854,"Suite 250 Jl. Hayamwuruk No. 80, Labuhan Batu Selatan, ML 73760",2020-04-26
06305043,Jaka,Yudhiswara,Senior Marketing Administrator,5,jaka.yudhiswara@gdn-commerce.com,1982-05-19,+62845324126430,"Jl. Diponegoro No. 81, Kapuas, JK 57065",2016-02-20
06307685,Rahmat,Nurdiansyah,Product Government Designer,4,rahmat.nurdiansyah@gdn-commerce.com,1998-12-31,+62829002788551,"Suite 545 Jl. Jend. Sudirman No. 36, Waropen, SR 84009",2016-09-08
06308255,Prily,Suhendra,Customer Education Executive,5,prily.suhendra@gdn-commerce.com,1975-01-12,+62824398223519,"Jl. MH. Thamrin No. 36, Bandung Barat, RI 31846",2019-02-11
06307692,Andi,Indragiri,Design Specialist,7,andi.indragiri@gdn-commerce.com,1990-10-26,+62874073687390,"Jl. Juanda No. 56, Lima Puluh Kota, GO 10464",2019-04-05
06304253,David,Firmansyah,Direct Officer,4,david.firmansyah@gdn-commerce.com,1985-10-23,+62862860230630,"Suite 406 Jl. Jend. Sudirman No. 30, Pasaman Barat, JI 10095",2016-08-23
06303803,Aditya,Fauzi,Internal Construction Producer,13,aditya.fauzi@gdn-commerce.com,1972-10-10,+62862886135079,"Suite 799 Jl. MH. Thamrin No. 57, Manggarai Barat, NU 81588",2021-08-12
06306089,Qomar,Indrajaya,Product Producer,6,qomar.indrajaya@gdn-commerce.com,1973-06-19,+62849164627853,"Suite 370 Jl. Jend. Sudirman No. 36, Morowali, NB 74806",2018-04-28
06304457,Yudhistira,Gondokusumo,Global Consultant,10,yudhistira.gondokusumo@gdn-commerce.com,1996-08-27,+62893492138889,"Apt. 534 Jl. Gatot Soebroto No. 48, Tojo Una-una, SS 78337",2019-12-02
06303647,Dimas,Yudhanto,Advertising Specialist,6,dimas.yudhanto@gdn-commerce.com,1990-04-18,+62890963066496,"Apt. 428 Jl. Juanda No. 62, Purworejo, JT 47224",2017-12-31
06301559,Toni,Qodir,Construction Manager,10,toni.qodir@gdn-commerce.com,1992-09-11,+62818035271968,"Suite 735 Jl. Jend. Sudirman No. 60, Pesisir Barat, MA 88599",2017-05-16
06303817,Endang,Januar,International Supervisor,11,endang.januar@gdn-commerce.com,2000-10-14,+62861075474427,"Jl. Rasuna Said No. 96, Maros, KU 79386",2017-03-30
06307716,Rosa,Hendrawinata,Government Specialist,7,rosa.hendrawinata@gdn-commerce.com,1974-12-13,+62862622849889,"Suite 867 Jl. Rasuna Said No. 51, Banyumas, KA 01159",2018-03-01
06303254,Liana,Hermawan,Manufacturing Designer,10,liana.hermawan@gdn-commerce.com,1982-03-26,+62867413724002,"Suite 798 Jl. Gatot Soebroto No. 78, Tasikmalaya, PB 59093",2018-08-13
06300012,Oki,Zulfikara,Education Liaison,4,oki.zulfikara@gdn-commerce.com,2003-07-09,+62896995192440,"Jl. Juanda No. 39, Kutai Kartanegara, SN 46889",2020-11-28
06304638,Devi,Aristianto,Hospitality Coordinator,4,devi.aristianto@gdn-commerce.com,1996-11-29,+62894744378746,"Apt. 580 Jl. MH. Thamrin No. 18, Sabu Raijua, SL 09984",2017-05-04
06300296,Dina,Prawira,International Banking Director,11,dina.prawira@gdn-commerce.com,1981-12-21,+62849728394964,"Jl. Rasuna Said No. 69, Palembang, JW 76411",2019-03-26
06300436,Bagas,Bintara,National Advertising Liaison,8,bagas.bintara@gdn-commerce.com,2002-06-20,+62850009666888,"Jl. Kartini No. 92, Batu Bara, KR 09618",2021-04-17
06303928,Tiara,Rianto,Direct Real-Estate Director,6,tiara.rianto@gdn-commerce.com,1989-02-05,+62815014842046,"Jl. Kartini No. 19, Semarang, JK 60693",2017-06-08
06300910,Choirul,Lesmana,Lead Representative,7,choirul.lesmana@gdn-commerce.com,1997-03-08,+62899930221240,"Apt. 539 Jl. Ahmad Yani No. 82, Bantaeng, SM 30497",2021-03-01
06307131,Rudi,Rustam,Product Administration Consultant,11,rudi.rustam@gdn-commerce.com,1983-01-14,+62830008657708,"Suite 236 Jl. Gajahmada No. 62, Teluk Bintuni, PB 14982",2017-05-13
06309993,Gita,Fachri,Administration Engineer,11,gita.fachri@gdn-commerce.com,1978-06-04,+62849593209088,"Jl. Juanda No. 86, Solok, JK 05436",2020-02-26
06308007,Fika,Harjono,Real-Estate Agent,10,fika.harjono@gdn-commerce.com,1999-12-16,+62871748825002,"Jl. Hayamwuruk No. 84, Labuhan Batu Selatan, KS 03822",2021-09-29
06309829,Andi,Riansyah,Manufacturing Designer,5,andi.riansyah@gdn-commerce.com,2000-01-23,+62855368525299,"Suite 741 Jl. Rasuna Said No. 28, Palangka Raya, NU 14347",2016-02-05
06302676,Wendy,Basri,District Construction Architect,5,wendy.basri@gdn-commerce.com,1989-12-10,+62831096323923,"Suite 430 Jl. MH. Thamrin No. 30, Mojokerto, KA 97657",2019-10-08
06306613,Ruslan,Hartono,IT Administrator,7,ruslan.hartono@gdn-commerce.com,1995-10-27,+62884999341175,"Jl. MH. Thamrin No. 15, Sampang, ML 57965",2018-08-05
06309416,Yahya,Haryanto,Design Assistant,5,yahya.haryanto@gdn-commerce.com,1984-12-19,+62841362470282,"Jl. MH. Thamrin No. 88, Cimahi, SN 55995",2019-10-11
06302627,Sigit,Dwiantoro,Advertising Orchestrator,5,sigit.dwiantoro@gdn-commerce.com,1984-03-19,+62896615286114,"Jl. Jend. Sudirman No. 99, Mataram, KS 43005",2017-10-24
06301196,Jaka,Abdullah,Chief Sales Producer,8,jaka.abdullah@gdn-commerce.com,1989-01-14,+62861883346945,"Jl. Gatot Soebroto No. 28, Seram Bagian Timur, NT 95700",2017-09-24
06301336,Rosa,Hendrawinata,Advertising Supervisor,10,rosa.hendrawinata@gdn-commerce.com,1976-04-03,+62838521715508,"Apt. 311 Jl. Diponegoro No. 39, Merangin, SL 83954",2018-12-01
06304344,Umar,Listiyono,International Accounting Analyst,7,umar.listiyono@gdn-commerce.com,1984-08-19,+62842130559504,"Suite 882 Jl. Jend. Sudirman No. 53, Palangka Raya, KA 39952",2017-04-28
06304452,Liana,Winarta,Advertising Supervisor,8,liana.winarta@gdn-commerce.com,1983-09-11,+62888778993545,"Suite 479 Jl. Kartini No. 20, Aceh Besar, PA 88652",2019-11-09
06307343,Wahyu,Kurniadi,Lead Technology Liaison,9,wahyu.kurniadi@gdn-commerce.com,1989-01-15,+62893095202117,"Suite 739 Jl. Hayamwuruk No. 89, Mojokerto, KB 97502",2021-05-19
06309007,Adi,Marzuki,Construction Designer,11,adi.marzuki@gdn-commerce.com,1989-06-23,+62879770154905,"Apt. 493 Jl. Gatot Soebroto No. 42, Barito Timur, SN 95310",2021-02-01
06304926,Lely,Hartanto,Banking Coordinator,4,lely.hartanto@gdn-commerce.com,1998-02-08,+62854706296671,"Jl. Kartini No. 10, Aceh Timur, KS 31488",2020-02-22
06304995,Mahesa,Febriansyah,Farming Coordinator,12,mahesa.febriansyah@gdn-commerce.com,1997-09-07,+62868187776342,"Jl. Gajahmada No. 32, Bantaeng, GO 00992",2018-01-01
06301088,Pradipta,Cahyono,Regional Agent,11,pradipta.cahyono@gdn-commerce.com,1997-09-21,+62842478860607,"Apt. 981 Jl. Hayamwuruk No. 62, Ogan Komering Ulu Timur, PP 47794",2021-02-25
06301227,Kartika,Armansyah,Future Agent,8,kartika.armansyah@gdn-commerce.com,1985-09-02,+62813635282429,"Jl. Kartini No. 87, Banda Aceh, SG 94603",2020-11-11
06305120,Choirul,Erik,Dynamic Developer,9,choirul.erik@gdn-commerce.com,2003-04-10,+62898382453299,"Suite 948 Jl. Juanda No. 73, Kayong Utara, KR 98097",2019-12-23
06309445,Dea,Ginting,Legacy Manufacturing Designer,5,dea.ginting@gdn-commerce.com,1978-12-28,+62845090264537,"Apt. 823 Jl. Kartini No. 21, Lombok Timur, KA 35714",2021-09-24
06301818,Popi,Winardi,Real-Estate Orchestrator,8,popi.winardi@gdn-commerce.com,1970-02-19,+62863458914284,"Apt. 537 Jl. Diponegoro No. 88, Gorontalo, PB 22634",2019-03-28
06306476,Aji,Winarta,Investor Associate,8,aji.winarta@gdn-commerce.com,2000-12-30,+62858239557751,"Suite 590 Jl. Rasuna Said No. 81, Luwu, SA 49025",2016-05-29
06308466,Rahmat,Zulfikri,Lead Specialist,6,rahmat.zulfikri@gdn-commerce.com,1991-02-13,+62877530332863,"Suite 848 Jl. Hayamwuruk No. 63, Way Kanan, SB 52517",2020-03-07
06305889,Sigit,Kurniawan,Future Marketing Director,11,sigit.kurniawan@gdn-commerce.com,1975-08-03,+62814175636569,"Apt. 171 Jl. Diponegoro No. 96, Cilacap, KR 21088",2021-08-04
06303777,Pradipta,Januar,Central Education Associate,12,pradipta.januar@gdn-commerce.com,1971-06-15,+62853427542675,"Suite 973 Jl. Gajahmada No. 95, Kediri, SB 46654",2020-09-08
06305528,Victor,Indrajaya,Future Design Analyst,8,victor.indrajaya@gdn-commerce.com,1993-09-18,+62895329786840,"Jl. Juanda No. 41, Labuhan Batu Utara, BA 63249",2017-01-06
06302849,Umar,Wicaksono,Regional Retail Assistant,11,umar.wicaksono@gdn-commerce.com,2001-03-06,+62882265860978,"Suite 210 Jl. Jend. Sudirman No. 21, Baubau, RI 10471",2017-03-21
06305124,Umar,Atmadja,Marketing Planner,5,umar.atmadja@gdn-commerce.com,1982-03-01,+62824142247142,"Apt. 615 Jl. Jend. Sudirman No. 50, Kapuas Hulu, BE 73031",2019-04-21
06301450,Raditya,Lesmana,Legacy Consulting Architect,5,raditya.lesmana@gdn-commerce.com,1975-02-02,+62831089567123,"Jl. Juanda No. 96, Bima, SS 84619",2021-06-07
06301759,Popi,Qodir,Principal Technology Executive,6,popi.qodir@gdn-commerce.com,1981-03-23,+62883698982312,"Jl. Rasuna Said No. 80, Manggarai Barat, YO 21616",2019-08-08
06306531,Sigit,Atmadja,Corporate Farming Specialist,13,sigit.atmadja@gdn-commerce.com,2003-03-08,+62866331833432,"Suite 850 Jl. Rasuna Said No. 21, Karawang, KA 52290",2020-12-11
06304000,Yudha,Pradipta,Banking Architect,8,yudha.pradipta@gdn-commerce.com,1983-12-11,+62866334010364,"Suite 558 Jl. Hayamwuruk No. 74, Medan, JB 32773",2019-02-27
06301947,Hamdan,Jayakusuma,Advertising Designer,10,hamdan.jayakusuma@gdn-commerce.com,1976-04-08,+62834108266765,"Jl. Gajahmada No. 69, Lampung Selatan, SG 11873",2019-10-26
06307468,Pradipta,Ongky,Government Engineer,4,pradipta.ongky@gdn-commerce.com,1984-04-19,+62852580128963,"Jl. Gajahmada No. 42, Toba Samosir, SG 41871",2019-08-09
06300547,Nina,Yudhistira,Advertising Architect,5,nina.yudhistira@gdn-commerce.com,1977-01-08,+62846529109838,"Jl. Hayamwuruk No. 10, Magelang, YO 11575",2017-02-03
06307546,Iwan,Firmansyah,Technology Designer,8,iwan.firmansyah@gdn-commerce.com,1983-03-21,+62851158868150,"Suite 154 Jl. Gajahmada No. 45, Ogan Komering Ulu Timur, SM 99271",2020-12-06
06307938,Budi,Mahendra,District Legal Associate,10,budi.mahendra@gdn-commerce.com,1990-11-11,+62859199255680,"Jl. Jend. Sudirman No. 92, Ngada, JW 19065",2021-06-18
06304660,Edwin,Yulianto,District Administration Producer,10,edwin.yulianto@gdn-commerce.com,1985-10-19,+62824112951655,"Apt. 126 Jl. Diponegoro No. 16, Maluku Barat Daya, BB 14442",2017-06-21
